Date,doc,CCAA,Infectados,Hospitalizados,UCI,Fallecidos,Curados,Nuevos
2020-04-04,65,Madrid,36249,14741,1498.0,4723.0,15362,2061
2020-04-04,65,Melilla,79,37,3.0,2.0,9,9
2020-04-04,65,Murcia,1188,434,79.0,51.0,113,43
2020-04-04,65,Navarra,2972,1341,120.0,171.0,311,136
2020-04-04,65,Pais Vasco,8187,4522,377.0,477.0,3098,360
2020-04-04,65,La Rioja,2405,805,64.0,128.0,843,181
2020-04-05,66,Andalucia,8301,4107,474.0,470.0,665,432
2020-04-05,66,Aragon,3232,1588,233.0,270.0,537,154
2020-04-05,66,Asturias,1605,808,90.0,80.0,216,83
2020-04-05,66,Baleares,1293,664,120.0,75.0,461,22
2020-04-05,66,Canarias,1622,644,129.0,80.0,137,58
2020-04-05,66,Cantabria,1441,639,62.0,68.0,113,57
2020-04-05,66,Castilla La Mancha,10031,2950,357.0,1055.0,1149,707
2020-04-05,66,Castilla y Leon,8749,2574,351.0,847.0,2331,417
2020-04-05,66,Cataluña,26032,18656,2249.0,2637.0,9528,1298
2020-04-05,66,Ceuta,83,9,4.0,2.0,2,10
2020-04-05,66,C. Valenciana,7184,1901,381.0,613.0,812,283
2020-04-05,66,Extremadura,2047,417,66.0,218.0,215,68
2020-04-05,66,Galicia,5944,1831,170.0,174.0,587,319
2020-04-05,66,Madrid,37584,14551,1499.0,4941.0,16543,1335
2020-04-05,66,Melilla,83,38,3.0,2.0,11,4
2020-04-05,66,Murcia,1235,447,80.0,59.0,130,47
2020-04-05,66,Navarra,3073,1399,123.0,178.0,334,101
2020-04-05,66,Pais Vasco,8628,4666,404.0,515.0,3405,441
2020-04-05,66,La Rioja,2592,855,66.0,134.0,904,187
2020-04-06,67,Andalucia,8581,4227,489.0,491.0,798,280
2020-04-06,67,Aragon,3347,1637,237.0,284.0,565,115
2020-04-06,67,Asturias,1646,846,90.0,86.0,222,41
2020-04-06,67,Baleares,1320,683,121.0,81.0,531,27
2020-04-06,67,Canarias,1649,651,133.0,85.0,157,27
2020-04-06,67,Cantabria,1483,658,65.0,77.0,118,42
2020-04-06,67,Castilla La Mancha,10602,2901,354.0,1132.0,1259,571
2020-04-06,67,Castilla y Leon,9116,2508,348.0,919.0,2533,367
2020-04-06,67,Cataluña,26824,19143,2276.0,2760.0,10088,792
2020-04-06,67,Ceuta,83,9,4.0,3.0,2,0
2020-04-06,67,C. Valenciana,7334,1909,384.0,637.0,930,150
2020-04-06,67,Extremadura,2068,453,66.0,228.0,223,21
2020-04-06,67,Galicia,6151,1916,170.0,190.0,610,207
2020-04-06,67,Madrid,38723,14501,1510.0,5136.0,17322,1139
2020-04-06,67,Melilla,86,38,3.0,2.0,11,3
2020-04-06,67,Murcia,1259,468,81.0,68.0,156,24
2020-04-06,67,Navarra,3231,1432,124.0,187.0,380,158
2020-04-06,67,Pais Vasco,8810,4794,410.0,548.0,3568,182
2020-04-06,67,La Rioja,2719,888,66.0,141.0,964,127
2020-04-07,68,Andalucia,8767,4335,499.0,528.0,900,186
2020-04-07,68,Aragon,3449,1663,247.0,312.0,578,102
2020-04-07,68,Asturias,1679,889,91.0,96.0,244,33
2020-04-07,68,Baleares,1369,705,124.0,84.0,537,49
2020-04-07,68,Canarias,1725,689,137.0,89.0,186,76
2020-04-07,68,Cantabria,1501,677,66.0,85.0,129,18
2020-04-07,68,Castilla La Mancha,11077,2908,360.0,1177.0,1353,475
2020-04-07,68,Castilla y Leon,9581,5180,346.0,982.0,2711,465
2020-04-07,68,Cataluña,28323,19745,2391.0,2908.0,10738,1499
2020-04-07,68,Ceuta,83,9,4.0,4.0,2,0
2020-04-07,68,C. Valenciana,7443,1887,384.0,672.0,1103,109
2020-04-07,68,Extremadura,2116,686,70.0,258.0,282,48
2020-04-07,68,Galicia,6331,1968,162.0,204.0,688,180
2020-04-07,68,Madrid,40469,13950,1494.0,5371.0,18410,1746
